,first_name,last_name,sex,nation,adress,province_code,postal_code,email,birthday,age,marital_status,income_per_month,last_education
0,Zuraida,Nadimah,F,Indonesian,"TIMBANG LAWAN, NAMO RAMBE, DELI SERDANG",,20356,zuraidanadimah7o@mail2culture.com,15 November 1985,36.0,single,Rp 4000000,Bachelor's degree
1,Bonifasius,Sofyan,M,Indonesian,"LIGIIBAK  /  LIGIMBAK (LAGIMBAK), KANGGIME (KANGGIMA ), TOLIKARA",,99568,ohdfuj3@mail2firm.com,25 October 1996,25.0,single,Rp.45000000,S-1
2,Mustofa,,,Indonesian,"MESJID GEULEUDIENG, PADANG TIJI, PIDIE",,24161,dally@tempmailer.de,06 January 1996,26.0,single,Rp17300000,Bachelor's degree
3,Hidayatullah,,M,Indonesian,"KALIGLAGAH, SUMBER BARU, JEMBER",,68156,hidayatullahkuwatcea&ozz.ru,15 November 1994,nan,married,Rp 43300000,Master's degree
4,Cinta,,F,Indonesian,"PASIKH NUNANG, LAWE ALAS, ACEH TENGGARA",,24661,cintak@hotmail.ro,06 March 1994,28.0,single,Rp.44550000,SMA
5,Encep,Mahmudi,,Indonesian,"SAMBIREJO, GAYAMSARI, SEMARANG",,50166,mahmudi6@mail2courtney.com,27 May 1992,,menikah,Rp19400000,Doctorate degree
6,Bethari,,M,Indonesian,"SARIREJA, JALANCAGAK, SUBANG",,41281,bethario@home.de,13 October 1998,,single,Rp3650000,Master's degree
7,Ketut,Gugum,M,Indonesian,"PETOK, MOJO, KEDIRI",,64162,ketutgugume@mail2pakistan.com,13 March 1989,132.0,belum menikah,Rp 47050000,Doctorate degree
8,Yosha,Tijah,F,Indonesian,"LAU, DAWE, KUDUS",,59353,yoshapgq@the-brazilian.com,01 February 1985,37.0,married,Rp 26000000,High school graduate
9,Fachry,Krisno,M,Indonesian,"PODOLUHUR, KLIRONG, KEBUMEN",,54381,fachrywu0@mail2hungary.com,22 April 1987,35.0,single,Rp17500000,S2
10,Syahid,Fahmi,M,Indonesian,"BANGKAT MONTE, BRANG REA, SUMBAWA BARAT",,84458,syahidfahmil3@findhere.com,03 August 1984,37.0,single,Rp.46600000,Bachelor's degree
11,Darma,Afendi,M,Indonesian,"TOBOBOL (TABOBOL), IBU SELATAN, HALMAHERA BARAT",,97754,afendidarma4@megago.com,24 March 1984,38.0,single,Rp 17700000,Bachelor's degree
12,Puti,Eko,F,Indonesian,"SUKANAGARA, JATINAGARA, CIAMIS",,46273,putiekoft@x-networks.net,20 July 1993,28.0,married,Rp.32500000,Master's degree
13,Fandy,Maliki,M,Indonesian,"LUBUK MINDAI, KETAHUN, BENGKULU UTARA",,38361,fandymalikircj@computermail.net,18 January 1996,26.0,single,Rp30100000,S-1
14,Kadek,,F,Indonesian,"MATANG BALOY, TANAH LUAS, ACEH UTARA",,24385,kadek9@mail2world.com,04 January 1993,29.0,single,Rp16750000,Bachelor's degree
15,Jannah,Karimah,F,Indonesian,"TARABBI, MALILI, LUWU TIMUR",,92981,jannahkarimahivu@mail2runner.com,10 June 1993,29.0,married,Rp 47050000,S1
16,Budi,Andri,M,Indonesian,"PERANTE, ASEMBAGUS, SITUBONDO",,68373,andrik3h@mail2turkey.com,10 April 1982,,married,Rp31550000,Bachelor's degree
17,Amat,Kuwat,,Indonesian,"KARAYUNAN, CIGASONG, MAJALENGKA",,45476,amatlq@muslim.com,19 December 1992,29.0,married,Rp.6350000,Bachelor's degree
18,Chaerunnisa,,F,Indonesian,"MOJOREJO, WATES, BLITAR",,66194,chaerunnisaw@gishpuppy.com,04 January 1988,34.0,single,Rp48200000,S-1
19,Warda,Nurul,,Indonesian,"NDIWAR, LELAK, MANGGARAI",,86516,wardanurult@iespana.es,21 December 1982,,married,Rp12700000,Bachelor's degree
20,Rafiqah,Syamsiah,F,Indonesian,"TAWANGSARI, KALIGESING, PURWOREJO",33.0,54175,syamsiaht4v@tverskie.net,01 May 1985,37.0,married,Rp11000000,Bachelor's degree
21,Cahyono,Widiyanto,,Indonesian,"MUARA, WANASALAM, LEBAK",,42396,cahyonoa_7@mail2looking.com,12 August 1981,40.0,lajang,Rp 27000000,S-2
22,Yulitta,,,Indonesian,"BALAI GADANG, KOTO TANGAH, PADANG",13.0,25171,deuisyulittaaa@qatar.io,22 January 1983,,single,Rp.28150000,Master's degree
23,Priyanto,,M,Indonesian,"BERINGIN AGUNG, SAMBOJA (SEMBOJA), KUTAI KARTANEGARA",,75271,priyantomuhaimin0jn@hotmail.fr,30 May 1990,32.0,single,Rp 22000000,Master's degree
24,Saniah,,,Indonesian,"PAKASAI, PARIAMAN TIMUR, PARIAMAN",,25524,juwariyahsaniahw@nuvse.com,08 October 1990,31.0,divorced,Rp5200000,Bachelor's degree
25,Vina,,F,Indonesian,"PADANG RATU, PADANG RATU, LAMPUNG TENGAH",,34175,dewivinahs@voo.be,07 January 1985,-37.0,single,Rp45200000,S1
26,Cucu,Suhaili,Unknown,Indonesian,"RANTAU PANJANG, LAWANG WETAN, MUSI BANYUASIN",,30752,cucuy0p@techsniper.com,17 March 1992,,belum menikah,Rp 4700000,High school graduate
27,Dillah,,F,Indonesian,"NUSA, KAHU, BONE",,92767,anisai@mail2sail.com,12 May 1994,,married,Rp.10500000,Bachelor's degree
28,Buleuen,,F,Indonesian,"BAHOI, LIKUPANG BARAT, MINAHASA UTARA",,95377,rahmawatih@mailcat.biz,04 November 1999,22.0,cerai,Rp32100000,S1
29,Catur,,M,Indonesian,"PENGAWU, TATANGA, PALU",,94239,catur59#webave.com,27 June 1991,30.0,divorced,Rp 39350000,S-1
30,Haedar,Kasep,M,Indonesian,"HILIGANOWO SALO\O, TELUK DALAM, NIAS SELATAN",,22865,kasepc_2@kissfans.com,03 January 1994,,single,Rp 19200000,Master's degree
31,Fitriyana,Nurmala,F,Indonesian,"BANDAR BARO, INDRA MAKMUR, ACEH TIMUR",11.0,24457,fitriyananurmala@globalpagan.com,19 August 1998,23.0,single,Rp 17700000,Bachelor's degree
32,Sukarno,,M,Indonesian,"PADANG MATINGI, RANTAU UTARA, LABUHAN BATU",,21411,saepudinr7@mail2champaign.com,29 September 1991,nan,single,Rp.47550000,Bachelor's degree
33,Jamilah,Nuraisyah,F,Indonesian,"PANALULUN, WELAREK, YALIMO",,99585,nuraisyahsy@chil-e.com,17 November 1990,31.0,married,Rp.27050000,Master's degree
34,Suriana,Fadhilah,,Indonesian,"KARANGJATI, WONOSEGORO, BOYOLALI",,57382,surianak@sunmail1.com,09 December 1990,31.0,lajang,Rp.38800000,Bachelor's degree
35,Septuagesima,Lusilla,F,Indonesian,"KAMPUNG PENSIUNAN, KEPAHIANG, KEPAHIANG",,39372,septuagesimadx@coolrio.com,04 July 1990,31.0,lajang,Rp 15050000,S-1
36,Asep,,M,Indonesian,"PULO REUDEUP, JANGKA, BIREUEN",,24261,asep@net-c.lu,28 November 1982,39.0,single,Rp 49900000,Bachelor's degree
37,Aceng,Soerianto,M,Indonesian,"TLOGOSONO, GEBANG, PURWOREJO",,54191,soeriantoacengvy@mail2jordan.com,21 August 1985,36.0,menikah,Rp20350000,Doctorate degree
38,Tana,Subrata,M,Indonesian,"KAMPUNG BARU, LABUHAN RATU, BANDAR LAMPUNG",,35149,tanaynd@dodgit.org,31 December 1986,35.0,single,Rp 35300000,Bachelor's degree
39,Sariwati,Mutia,F,Indonesian,"TITIOA, LATOMA, KONAWE",74.0,93461,mutiaco2@mail2cyprus.com,07 September 1981,40.0,single,Rp42800000,S-1
40,Nikodemus,Deks,,Indonesian,"MASALOKA BARAT (TENGAH), KEPULAUAN MASALOKA RAYA, BOMBANA",,93771,nikodemusm@the-hooligan.com,01 October 1996,25.0,belum menikah,Rp 26750000,High school graduate
41,Asiyah,,F,Indonesian,"LIKUBUK, NIRKURI, NDUGA",,99564,asiyahseptuagesimaeth@last-chance.pro,29 July 1992,29.0,cerai,Rp.40800000,Master's degree
42,Rexy,Riduan,M,Indonesian,"BABAYAU, PARINGIN, BALANGAN",63.0,71662,riduan0u@shockinmytown.cu.cc,10 November 1981,-40.0,belum menikah,Rp25800000,S-1
43,Prabowo,,M,Indonesian,"TANJUNGSARI INDAH, GUNUNG KENCANA, LEBAK",,42354,afrizal6@homestead.com,27 May 1995,27.0,single,Rp.22850000,Master's degree
44,Fadiyah,Mutya,F,Indonesian,"GEDUNG JAYA, RAWA PITU, TULANG BAWANG",,34595,fadiyahmutyag@motormania.com,20 June 1989,,divorced,Rp.12600000,Bachelor's degree
45,Mokamad,Abdi,M,Indonesian,"GUNUNG KELAMBU, BADIRI, TAPANULI TENGAH",,22654,abdii6@soodonims.com,05 October 1991,30.0,married,Rp36400000,Bachelor's degree
46,Putry,Patimah,F,Indonesian,"TRIHARJO, WATES, KULON PROGO",,55651,patimahputry35g@mail2newyork.com,27 November 1997,,single,Rp.35650000,Bachelor's degree
47,Meiliani,Raudha,F,Indonesian,"LIANG NAGA, TEWEH BARU, BARITO UTARA",,73814,meilianiraudhat@nakedgreens.com,08 February 1981,,divorced,Rp 17500000,Bachelor's degree
48,Jaga,Deks,M,Indonesian,"TIONER, TIMORI, TOLIKARA",,99569,jagamr@betriebsdirektor.de,02 January 1993,29.0,single,Rp.7100000,Bachelor's degree
49,Eha,Deuis,F,Indonesian,"LUBANG KIDUL, BUTUH, PURWOREJO",,54264,eha8d@airforceemail.com,12 May 1992,90.0,married,Rp34250000,S1
50,Abas,,M,Indonesian,"TENAWAHANG, TITEHENA, FLORES TIMUR",,86253,abassuwarnoul@yahoo.net,27 May 1989,33.0,married,Rp26450000,Bachelor's degree
51,Nanik,Norjannah,F,Indonesian,"MEKAR JAYA, AIR RAMI, MUKO MUKO",,38764,w1nfc@thesimpsonsfans.com,03 June 1986,108.0,single,Rp 25900000,SMA
52,Kasih,Saniah,F,Indonesian,"TEGALLEGA, WARUNGKONDANG, CIANJUR",,43261,saniahkasih4@nur-fuer-spam.de,21 August 1990,31.0,married,Rp.30800000,High school graduate
53,Hamdiah,Maemunah,F,Indonesian,"KAJASI, BIAK TIMUR, BIAK NUMFOR",,98152,hamdiahmaemunahl1x@mail2juan.com,08 January 1987,35.0,lajang,Rp41800000,Bachelor's degree
54,Ika,Nirmala,F,Indonesian,"MALOMBU, ANGKOLA SANGKUNUR, TAPANULI SELATAN",,22735,ikanirmala78&mail2traveler.com,24 April 1988,,menikah,Rp 28300000,SMA
